reftramo,geom,idcalle,nombre,tipo_vialidad,fuente,localidad,departamento
740186,0105000020D17F0000010000000102000000030000005CC7CCF094E321415D664A08E36C5741ABB47F0297E321412CE16D9BE36C5741F9D7F41993E3214178E58537EA6C5741,70050,SENDA 4,PASAJE INTERNO,OSM,MONTEVIDEO,MONTEVIDEO
740187,0105000020D17F000001000000010200000002000000CBFB74AF5AE321413907797EE26C574196BAB8A254E32141572A49E9EC6C5741,70051,SENDA 3,PASAJE INTERNO,OSM,MONTEVIDEO,MONTEVIDEO
740188,0105000020D17F000001000000010200000002000000C1F21AC51EE321413A30BAF0E16C57417B4433A817E32141B8A5168AEE6C5741,70052,SENDA 2,PASAJE INTERNO,OSM,MONTEVIDEO,MONTEVIDEO
740189,0105000020D17F00000100000001020000000300000009F041A8E5E22141BFC40F6AE16C5741243670A0DEE2214100F24A5FEC6C5741093632DEE5E2214105D6EBE3ED6C5741,70053,SENDA 1,PASAJE INTERNO,OSM,MONTEVIDEO,MONTEVIDEO
740190,0105000020D17F000001000000010200000002000000E1E7462539E421411B20008ED76C5741686B3E84E9E321418A7DAFB9D66C5741,70054,UYMOMVD_SN_501,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801762,0105000020D17F000001000000010200000002000000FC273A6A5BA02141B9263EE94F725741617382FE61A02141D673B62449725741,56447,UYMOMVD_SN_2763,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740192,0105000020D17F000001000000010200000002000000E07BEE430FE42141D9225D82FD6C5741A600C84E57E42141D18957B4F96C5741,70056,UYMOMVD_SN_276,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740193,0105000020D17F00000100000001020000000200000014755F9BF2E321413B10FD68F56C57418A5362033FE421410E3AF4A7F16C5741,70057,UYMOMVD_SN_1528,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740194,0105000020D17F000001000000010200000002000000878406C3DCE32141E37AD33FE66C57411743E12F2FE42141B1E8B0FBE66C5741,70058,UYMOMVD_SN_931,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740195,0105000020D17F0000010000000102000000020000003AEF3B57E2E321415BEF73ABDD6C57415DE2417534E42141A64C7163DE6C5741,70059,UYMOMVD_SN_999,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740196,0105000020D17F000001000000010200000003000000E9848B7DE3E32141905BB2B9F06C574101746EBCF6E3214143B6B554F06C57416AB26E7537E42141C557BA01EF6C5741,70060,UYMOMVD_SN_2929,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740197,0105000020D17F000001000000010200000003000000263E8642D1E42141596A946BF36C5741D9FF2F28D8E421411A966BA9F56C57415CCB0862F1E421419215C257006D5741,70061,UYMOMVD_SN_2185,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740198,0105000020D17F000001000000010200000003000000823FB1287BE5214119E5D075F06C57410D18F2867FE5214143B59636F26C5741D7C8F0978AE521412ADA5218FC6C5741,70062,UYMOMVD_SN_2930,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740199,0105000020D17F00000100000001020000000300000033FE8012BBE5214142D07739EF6C5741859A901BC6E52141871F7929F86C5741B80BD995CAE52141E5586DEEFA6C5741,70063,UYMOMVD_SN_2705,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740200,0105000020D17F000001000000010200000002000000AF68241A99E621416F88B951EE6C57416772B22C97E621416766B79BF96C5741,70064,UYMOMVD_SN_2379,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740201,0105000020D17F0000010000000102000000020000007913E64E34E62141D4154BA8D36C57419B81E05796E621412E356EFED46C5741,70065,UYMOMVD_SN_2136,CALLE,IDE,MONTEVIDEO,MONTEVIDEO
740202,0105000020D17F000001000000010200000002000000ADB9C72290E62141E2EBF4ADD86C5741676888F68AE62141CCF3D300DE6C5741,70066,UYMOMVD_SN_2229,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740203,0105000020D17F000001000000010200000002000000676888F68AE62141CCF3D300DE6C5741DFA834022DE62141FC6A20DADC6C5741,70067,UYMOMVD_SN_3000,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801763,0105000020D17F000001000000010200000002000000617382FE61A02141D673B62449725741A1025ED769A021412610083142725741,56447,UYMOMVD_SN_2763,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801779,0105000020D17F0000010000000102000000020000008D140297F2682141DDA18BBB357157418B7403CD216921412D06DD4631715741,55444,UYMOMVD_SN_802,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740207,0105000020D17F0000010000000102000000020000005079CBB3CDE821419972AB11936C5741A0F7E9CA64E9214120D880AA946C5741,70071,UYMOMVD_SN_1462,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740208,0105000020D17F000001000000010200000002000000E34D32FB5EE9214146452A8F9E6C5741DB5ECD19C7E821418AD444D29C6C5741,70072,UYMOMVD_SN_1454,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801780,0105000020D17F0000010000000102000000050000008B7403CD216921412D06DD4631715741E1BEC21749692141E8C683912D7157415065BCCD56692141E129D4DF2F7157410348CF4660692141C628F7AF2F71574188FAAF9287692141010E274F2C715741,55444,UYMOMVD_SN_802,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801781,0105000020D17F00000100000001020000000300000088FAAF9287692141010E274F2C715741547FC755A369214157312EEC29715741870DB18CDA69214168B9E39625715741,55444,UYMOMVD_SN_802,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
801790,0105000020D17F00000100000001020000000300000078145513AA6921419ED2B05232715741ABC682F7A0692141FB4E32BD3071574188FAAF9287692141010E274F2C715741,70631,UYMOMVD_SN_2682,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740212,0105000020D17F0000010000000102000000020000005E41B4CABDEA2141073091E11C6D57412A734CE4D7EA2141D45E632F1E6D5741,70076,UYMOMVD_SN_2899,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
801791,0105000020D17F00000100000001020000000400000088FAAF9287692141010E274F2C71574107334F9479692141586638DE297157418C09FC23646921418190EB2C267157411AF039FC426921419CA251A125715741,70631,UYMOMVD_SN_2682,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
801799,0105000020D17F000001000000010200000002000000CC25D386545E2141B1C7020AC5715741C1AD07D6D05F2141B84D2784A1715741,14113,CARMELO DE ARZADUM,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
801800,0105000020D17F000001000000010200000006000000C1AD07D6D05F2141B84D2784A171574116DDA077D25F21414FCD255DA1715741132186D72D612141379B826E81715741ABDFD84D89612141A1B055C478715741D891763D9161214191581C107871574128904C74A0612141D3CA9E3377715741,14113,CARMELO DE ARZADUM,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
740221,0105000020D17F00000100000001020000000200000042BBC4289AC6214151373C692A6C5741B86C81219CC6214165653F3D2E6C5741,70085,UYMOMVD_SN_889,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740222,0105000020D17F0000010000000102000000030000007FF2D576BEC621413D7B41F8396C5741EBE3E69FCDC621413DA773CA386C57417DB587D5F2C6214115505B73386C5741,70086,UYMOMVD_SN_114,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
801755,0105000020D17F00000100000001020000000B0000008BEAE58A3ADF2141B815D51B9B6F5741F6BB218839DF21416C3BABC2976F57413EF29EDB38DF2141E608EFCF946F5741169516D636DF2141982FC3F2916F5741674F27E13ADF2141DCA376EA8E6F5741B70938EC3EDF2141D31FE3328A6F574138A564B449DF2141DD5921E7856F57412AD496D555DF214145699388826F574105AE676069DF214154659B98806F57411F3A228777DF214103AB8A8D7C6F574129EB3ADD81DF21416C7084B8796F5741,54334,DESCONOCIDA,CALLE,Google,MONTEVIDEO,MONTEVIDEO
